title,artist,album,year,track_number,genre,length_in_seconds,image
4,aphex twin,richard d. james album,1997,1,,216,http://userserve-ak.last.fm/serve/300x300/92306027.png
cornish acid,aphex twin,richard d. james album,1997,2,,134,http://userserve-ak.last.fm/serve/300x300/92306027.png
peek 824545201,aphex twin,richard d. james album,1997,3,,185,http://userserve-ak.last.fm/serve/300x300/92306027.png
fingerbib,aphex twin,richard d. james album,1997,4,,228,http://userserve-ak.last.fm/serve/300x300/92306027.png
carn marth,aphex twin,richard d. james album,1997,5,,153,http://userserve-ak.last.fm/serve/300x300/92306027.png
to cure a weakling child,aphex twin,richard d. james album,1997,6,,243,http://userserve-ak.last.fm/serve/300x300/92306027.png
goon gumpas,aphex twin,richard d. james album,1997,7,,122,http://userserve-ak.last.fm/serve/300x300/92306027.png
yellow calx,aphex twin,richard d. james album,1997,8,,182,http://userserve-ak.last.fm/serve/300x300/92306027.png
girl/boy song,aphex twin,richard d. james album,1997,9,,287,http://userserve-ak.last.fm/serve/300x300/92306027.png
logan rock witch,aphex twin,richard d. james album,1997,10,,212,http://userserve-ak.last.fm/serve/300x300/92306027.png
milk man,aphex twin,richard d. james album,1997,11,,249,http://userserve-ak.last.fm/serve/300x300/92306027.png
inkey$,aphex twin,richard d. james album,1997,12,,84,http://userserve-ak.last.fm/serve/300x300/92306027.png
girl/boy song (£18 snare rush mix),aphex twin,richard d. james album,1997,13,,117,http://userserve-ak.last.fm/serve/300x300/92306027.png
beetles,aphex twin,richard d. james album,1997,14,,91,http://userserve-ak.last.fm/serve/300x300/92306027.png
girl/boy song (redruth mix),aphex twin,richard d. james album,1997,15,,97,http://userserve-ak.last.fm/serve/300x300/92306027.png
web in front,archers of loaf,icky mettle,1993,1,,124,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
last word,archers of loaf,icky mettle,1993,2,,216,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
wrong,archers of loaf,icky mettle,1993,3,,221,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
you and me,archers of loaf,icky mettle,1993,4,,190,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
might,archers of loaf,icky mettle,1993,5,,124,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
hate paste,archers of loaf,icky mettle,1993,6,,166,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
fat,archers of loaf,icky mettle,1993,7,,78,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
plumb line,archers of loaf,icky mettle,1993,8,,124,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
"learo, you're a hole",archers of loaf,icky mettle,1993,9,,230,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
sickfile,archers of loaf,icky mettle,1993,10,,103,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
toast,archers of loaf,icky mettle,1993,11,,278,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
backwash,archers of loaf,icky mettle,1993,12,,206,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
slow worm,archers of loaf,icky mettle,1993,13,,209,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
i don't wanna go out,averkiou,throwing sparks,2008,1,,199,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
holland and headaches,averkiou,throwing sparks,2008,2,,210,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
new york friends,averkiou,throwing sparks,2008,3,,271,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
the south wall,averkiou,throwing sparks,2008,4,,213,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
we'll stand erect,averkiou,throwing sparks,2008,5,,155,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
"sudden death, over time",averkiou,throwing sparks,2008,6,,220,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
girls go out,averkiou,throwing sparks,2008,7,,160,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
give'm what he wants,averkiou,throwing sparks,2008,8,,110,http://audiointention.files.wordpress.com/2012/01/3949880571-1.jpeg
for ex-lovers only,black tambourine,complete recordings,1999,1,,161,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
black car,black tambourine,complete recordings,1999,2,,209,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
pack you up,black tambourine,complete recordings,1999,3,,147,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
can't explain,black tambourine,complete recordings,1999,4,,144,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
i was wrong,black tambourine,complete recordings,1999,5,,96,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
throw aggi off the bridge,black tambourine,complete recordings,1999,6,,198,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
drown,black tambourine,complete recordings,1999,7,,162,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
we can't be friends,black tambourine,complete recordings,1999,8,,110,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
by tomorrow,black tambourine,complete recordings,1999,9,,185,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
pam's tan,black tambourine,complete recordings,1999,10,,80,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
wildlife analysis,boards of canada,music has the right to children,1998,1,electronic,77,http://userserve-ak.last.fm/serve/300x300/100496007.png
an eagle in your mind,boards of canada,music has the right to children,1998,2,electronic,383,http://userserve-ak.last.fm/serve/300x300/100496007.png
the color of the fire,boards of canada,music has the right to children,1998,3,electronic,105,http://userserve-ak.last.fm/serve/300x300/100496007.png
telephasic workshop,boards of canada,music has the right to children,1998,4,electronic,395,http://userserve-ak.last.fm/serve/300x300/100496007.png
triangles & rhombuses,boards of canada,music has the right to children,1998,5,electronic,110,http://userserve-ak.last.fm/serve/300x300/100496007.png
sixtyten,boards of canada,music has the right to children,1998,6,electronic,348,http://userserve-ak.last.fm/serve/300x300/100496007.png
turquoise hexagon sun,boards of canada,music has the right to children,1998,7,electronic,307,http://userserve-ak.last.fm/serve/300x300/100496007.png
kaini industries,boards of canada,music has the right to children,1998,8,electronic,59,http://userserve-ak.last.fm/serve/300x300/100496007.png
bocuma,boards of canada,music has the right to children,1998,9,electronic,96,http://userserve-ak.last.fm/serve/300x300/100496007.png
roygbiv,boards of canada,music has the right to children,1998,10,electronic,151,http://userserve-ak.last.fm/serve/300x300/100496007.png
rue the whirl,boards of canada,music has the right to children,1998,11,electronic,399,http://userserve-ak.last.fm/serve/300x300/100496007.png
aquarius,boards of canada,music has the right to children,1998,12,electronic,358,http://userserve-ak.last.fm/serve/300x300/100496007.png
olson,boards of canada,music has the right to children,1998,13,electronic,91,http://userserve-ak.last.fm/serve/300x300/100496007.png
pete standing alone,boards of canada,music has the right to children,1998,14,electronic,367,http://userserve-ak.last.fm/serve/300x300/100496007.png
smokes quantity,boards of canada,music has the right to children,1998,15,electronic,187,http://userserve-ak.last.fm/serve/300x300/100496007.png
open the light,boards of canada,music has the right to children,1998,16,electronic,265,http://userserve-ak.last.fm/serve/300x300/100496007.png
one very important thought,boards of canada,music has the right to children,1998,17,electronic,78,http://userserve-ak.last.fm/serve/300x300/100496007.png
happy cycling,boards of canada,music has the right to children,1998,18,electronic,471,http://userserve-ak.last.fm/serve/300x300/100496007.png
The Mother We Share,CHVRCHES,The Bones of What You Believe,2013,1,Synth-pop,191,http://userserve-ak.last.fm/serve/300x300/92085853.png
We Sink,CHVRCHES,The Bones of What You Believe,2013,2,Synth-pop,214,http://userserve-ak.last.fm/serve/300x300/92085853.png
Gun,CHVRCHES,The Bones of What You Believe,2013,3,Synth-pop,233,http://userserve-ak.last.fm/serve/300x300/92085853.png
Tether,CHVRCHES,The Bones of What You Believe,2013,4,Synth-pop,286,http://userserve-ak.last.fm/serve/300x300/92085853.png
Lies,CHVRCHES,The Bones of What You Believe,2013,5,Synth-pop,221,http://userserve-ak.last.fm/serve/300x300/92085853.png
Under the Tide,CHVRCHES,The Bones of What You Believe,2013,6,Synth-pop,272,http://userserve-ak.last.fm/serve/300x300/92085853.png
Recover,CHVRCHES,The Bones of What You Believe,2013,7,Synth-pop,225,http://userserve-ak.last.fm/serve/300x300/92085853.png
Night Sky,CHVRCHES,The Bones of What You Believe,2013,8,Synth-pop,231,http://userserve-ak.last.fm/serve/300x300/92085853.png
Science/Visions,CHVRCHES,The Bones of What You Believe,2013,9,Synth-pop,238,http://userserve-ak.last.fm/serve/300x300/92085853.png
Lungs,CHVRCHES,The Bones of What You Believe,2013,10,Synth-pop,182,http://userserve-ak.last.fm/serve/300x300/92085853.png
By the Throat,CHVRCHES,The Bones of What You Believe,2013,11,Synth-pop,249,http://userserve-ak.last.fm/serve/300x300/92085853.png
You Caught the Light,CHVRCHES,The Bones of What You Believe,2013,12,Synth-pop,340,http://userserve-ak.last.fm/serve/300x300/92085853.png
Strong Hand,CHVRCHES,The Bones of What You Believe,2013,13,Synth-pop,206,http://userserve-ak.last.fm/serve/300x300/92085853.png
Broken Bones,CHVRCHES,The Bones of What You Believe,2013,14,Synth-pop,224,http://userserve-ak.last.fm/serve/300x300/92085853.png
Gun (KDA Remix),CHVRCHES,The Bones of What You Believe,2013,15,Synth-pop,375,http://userserve-ak.last.fm/serve/300x300/92085853.png
The Mother We Share (We Were Promised Jetpacks Remix),CHVRCHES,The Bones of What You Believe,2013,16,Synth-pop,358,http://userserve-ak.last.fm/serve/300x300/92085853.png
Domino,Gardens & Villa,Dunes,2014,1,Indie,245,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Colony Glen,Gardens & Villa,Dunes,2014,2,Indie,259,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Bullet Train,Gardens & Villa,Dunes,2014,3,Indie,238,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Chrysanthemums,Gardens & Villa,Dunes,2014,4,Indie,226,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Echosassy,Gardens & Villa,Dunes,2014,5,Indie,204,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Purple Mesas,Gardens & Villa,Dunes,2014,6,Indie,323,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
