id,title,year,synopsis,rating,genre,studio
2,Troll 2,1990,"",0,Horror,MGM
3,The Royal Tenenbaums,2002,"",80,Comedy,Buena Vista Distribution Compa
5,The Life Aquatic with Steve Zissou,2004,"",53,Drama,Buena Vista
6,Rushmore,1998,"",87,Comedy,Touchstone Pictures
7,Bottle Rocket,1996,"",80,Drama,Columbia Pictures
8,The Darjeeling Limited,2007,"",67,Action & Adventure,Fox Searchlight Pictures
9,Little Miss Sunshine,2006,"",91,Comedy,Fox Searchlight
10,Fantastic Mr. Fox,2009,"",93,Action & Adventure,20th Century Fox
11,The Graduate,1967,"",88,Drama,Embassy Pictures/Rialto Pictures
12,Ghost World,2001,"",92,Drama,United Artists
13,Four Lions,2010,"A handful of young men set out to take on the decadent West but are more of a threat to themselves than anyone else in this black comedy from director Chris Morris. Omar (Riz Ahmed) is a devout Muslim living in the United Kingdom who has decided to form a terrorist cell to bring forth a jihad against a culture he believes is dominated by the sinful and ignorant. However, Omar isn't much of leader, and he's assembled an unimpressive team of fellow terrorists, among them Waj (Kayvan Novak), who lacks the brainpower to come up with ideas or direction on his own; Faisal (Adeel Akhtar), who is shy and doesn't have much to say; and Barry (Nigel Lindsay), a recent convert to Islam who tries to make up for his lack of practical knowledge with fierce passion. As Omar and his comrades debate both doctrine and methods, they ponder such notions as using birds as explosive devices, creating video communiques with a hip-hop flavor, and attacking mosques in an effort to provoke nonviolent Muslims. But are Omar and his partners a legitimate threat to the safety of Great Britain, or just four half-bright twentysomethings with more bluster than imagination? Four Lions received its world premiere at the 2010 Sundance Film Festival. ~ Mark Deming, Rovi",82,Drama,Drafthouse Films
15,Win Win,2011,"Paul Giamatti headlines writer/director Tom McCarthy's comedy drama centering on a beleaguered attorney and part-time wrestling coach who schemes to keep his practice from going under by acting as the legal caretaker of an elderly client. Mike Flaherty (Giamatti) thinks he has discovered the perfect loophole to keep his practice in business. But his brilliant plan hits an unexpected hitch when his client's troubled grandson shows up looking for a place to stay. With his home life in turmoil and both of his careers in jeopardy, Mike quickly realizes that he'll have to get creative in order to find a way out of his current predicament. ~ Jason Buchanan, Rovi",94,Drama,Fox Searchlight Pictures
