album_id,track_id,title,track_number,duration_ms,album_name,artists
60mvULtYiNSRmpVvoa3RE4,4pn0G7yHNfTgRYRWca8gYA,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],1,222466,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull
4JXziyWNlxM4oPw34PMjVj,4TodN6on0egMGf46YPk5oZ,Revenge of the Lol Cat,1,200687,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,4UzpPEH482FOkIesWLVgjg,Wise Words for No-Life Guacamoles,2,289312,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,1Q1Sk1KFf6CyqBg1hBAFms,The Rise & Fall of the Donkey Dog,3,364125,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,1BkGDuLS2SAS4vNHTTKMAt,Dinosaurs Are Gone,4,269750,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,3JSYH8oCOjFsjWDUL8iAI6,Revenge of the Lol Cat - Fulgeance Remix,5,259624,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,6Hf6Kr5v5R6qwpZv7uKrBW,Dinosaurs Are Gone - S3A's Ravist Remix,6,292968,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,4Fu9qbVVl8ZzjURvaGQg4M,Wise Words for No-Life Guacamoles - Claude Remix,7,278816,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,3dXog3qDLviOy8bQ25c5QS,Revenge of the Lol Cat - Baron Rétif & Concepcion Perez Remix,8,185759,A13,Garnier
4JXziyWNlxM4oPw34PMjVj,4A0YQMN4k5hnFTsK7AbUBC,Dinosaurs Are Gone - S3A's Ravist Extended Remix,9,292968,A13,Garnier
1SIpLwZu1R69coxKMH06kw,2M8g01v2vUMn39YQ10l7ef,Fake Your Death,1,200786,May Death Never Stop You,My Chemical Romance
1SIpLwZu1R69coxKMH06kw,3CVK63YAWTCSc90CRBg7aD,"Honey, This Mirror Isn't Big Enough For The Two Of Us",2,233120,May Death Never Stop You,My Chemical Romance
